,id,name,description,genre,category,venue,address,date,time,url,artist,price
0,1,1,Event 1,event1 description,Music,jazz,some place,an address,a time,http://someurl.com,An artist,A price
1,2,2,Event 2,event2 description,Music,jazz,some place,an address,a time,http://someurl.com,An artist,A price
2,3,3,Event 3,event3 description,Music,jazz,some place,an address,a time,http://someurl.com,An artist,A price
3,4,4,Event 4,event4 description,Music,jazz,some place,an address,a time,http://someurl.com,An artist,A price
4,5,?????????? ????,"In 2018, 'Wooden Whales' became one of the main rock discoveries of the year, releasing a bright and magical indie shoegaze album 'Under Water'. On the second release, 'Super', the experiments continued: the group moved away from simple melodies and volle",,Music,16 ????,,9 ????? ? 20:00,,https://www.afisha.ru/concert/2162068,,
5,6,??????,"The Moscow avant-garde quartet 'KakOsy' is a wide stream of multi-genre pipes that will take you into the ocean of Oberiut humor. In short, it's indie rock. Supported by: Rock group Grid. Grid Group was founded in 2011. The name of the group means - warri",,Music,Bunker 47,,26 ?????? ? 21:00,,https://www.afisha.ru/concert/2160678,,
6,7,???? ?????????? & Tomas Band,A big festive concert dedicated to the 20th anniversary of the release of the legendary album of the group 'Thomas' - Commander.,,Music,O'Connells Pub,,23 ??????? ? 19:00,,https://www.afisha.ru/concert/2161483,,
7,8,Terelya,"TERELYA is an intelligent indie pop about happy, simple and complex, long and fleeting love.
On Friday, January 27, by your numerous requests, once again on the stage of the cult Mumiy Troll Music Bar",,Music,????? ?????? Music Bar,,27 ?????? ? 20:00,,https://www.afisha.ru/concert/2162257,,
8,9,5 ???!: ????,"On April 1, 2023, the whole planet will celebrate the appearance of the group 'Khren', the first of its kind group playing in the style of Khren metal. For 5 years we have been swimming in the ocean of Khren metal, a hellish mixture of pop chanson and ind",,Music,?????,,1 ?????? ? 19:00,,https://www.afisha.ru/concert/2161930,,
9,10,Mana Island,"AddressNovoslobodskaya, 16a",,Music,?????? ??????????? «????????»,,9 ????? ? 20:00,,https://www.afisha.ru/concert/2162206,,
10,11,Ocean Jet,"OCEAN JET is going to EXCITING TOUR, where they will celebrate their first big anniversary! Over the 10 years of the band's existence, the musicians have written many atmospheric songs that they will perform at a concert at the Mumiy Troll Music Bar on Ap",,Music,????? ?????? Music Bar,,21 ?????? ? 20:00,,https://www.afisha.ru/concert/2162316,,
11,12,???? ?? ??????? ????,"AddressKostomarovsky per., 3, on the territory of the plant 'Mars'",,Music,???????????? Aglomerat,,2 ?????? ? 19:00,,https://www.afisha.ru/concert/2162570,,
12,13,«Locals Only»,"Also 'There are no astronauts', 'SA: MI'",,Music,???????????? Main Stage,,27 ??? ? 12:00,,https://www.afisha.ru/concert/2103761,,
13,16,Pharaoh,"Pharaoh is the brightest representative of the new school of rap that was born in the mid-10s, on which the entire modern generation of performers of the genre grew up. Starting with “meme” clips and an unusual presentation for its time, having experience",hiphop,Music,?????? ?????? «?????????»,,8 ?????? ? 20:00,,https://www.afisha.ru/concert/2156804,,
14,17,Saluki,"Saluki's songs are the music of chaos and endless search for yourself, enhanced by beatmaker's attention to detail.
 
After the release of the solo album, Saluki managed to take the first places in the charts of all music platforms, then - sold out in t",hiphop,Music,1930 Moscow,,25 ??????? ? 20:00,,https://www.afisha.ru/concert/2101430,,
15,18,?????,"One of the main players of Russian rap, Basta is a true folk favorite - his tracks regularly get on the radio, the artist himself constantly performs at the largest venues in the capitals (sometimes accompanied by an orchestra) and sits on the jury of the",hiphop,Music,?????? ?????? «?????????»,,22 ? 23 ??????,,https://www.afisha.ru/concert/2151268,,
16,19,«Mad Moscow Show 2022»: Onyx,"New York hip-hop classics are back in Russia! Two crazy big shows await the residents of St. Petersburg and Moscow - September 23 and 24. Those who were at Onyx concerts do not need to explain anything, and those who were not, it is difficult to explain. ",hiphop,Music,???????? Hall,,24 ????? ? 20:00,,https://www.afisha.ru/concert/2101420,,
17,20,Jah Khalib,"On November 18, Jah Khalib, who has already become a cult artist, will perform for the first time on the stage of the Barvikha Luxury Village concert hall in a unique chamber format.
The motives of his songs 'Medina', 'Leila', 'I was looking for - I foun",hiphop,Music,??????? Luxury Village,,18 ?????? ? 19:00,,https://www.afisha.ru/concert/2151770,,
18,21,?????,"One of the main players of Russian rap, Basta is a true folk favorite - his tracks regularly get on the radio, the artist himself constantly performs at the largest venues in the capitals (sometimes accompanied by an orchestra) and sits on the jury of the",hiphop,Music,??? ??????,,19 ? 20 ??????,,https://www.afisha.ru/concert/2151210,,
19,22,Horus,"On his previous projects 'Lupercal' and 'Project Mutilation', rapper Horus actively flirted with right-wing bro rhetoric, however, one of his recent releases refers to the film 'Skins' (track 'Romper Stomper'). However, the main thing in his work is reaso",hiphop,Music,?????,,30 ???????? ? 20:00,,https://www.afisha.ru/concert/2130142,,
20,23,?????,"The image of a cute merry fellow, which rapper Kravets exploits with might and main, perfectly suits his light-hearted cheerful rap. The music here is simple dance electronics and pop melodies. Among the main tracks of the artist’s breakthrough mini-album",hiphop,Music,16 ????,,25 ??????? ? 20:00,,https://www.afisha.ru/concert/2157627,,
21,24,PLC,"PLC is not new to the rap game: according to old-timers, he released his first release back in 2002. However, he reached real popularity only last year after participating in the talent show 'Songs'. The artist has already managed to record several featur",hiphop,Music,16 ????,,23 ??????? ? 20:00,,https://www.afisha.ru/concert/2162593,,
22,25,"Saluki, Captown","July 30 - joint performance of SALUKI and CAPTOWN within SUMMER STAGE. SALUKI is a popular hip-hop artist, producer, beatmaker. The musician became widely known after the release of the debut album “STREETS, HOUSES”, where he performed as a performer, aft",hiphop,Music,???????????? Main Stage,,29 ???? ? 20:00,,https://www.afisha.ru/concert/2122147,,
23,26,Bushido Zho & Aarne & 163onmyneck,"163ONMYNECK is one of the members of Melon Music.
BUSHIDO ZHO is a Russian trap artist released on the CPLUS label.
AARNE is a producer from London of Romanian origin. Known for working with artists such as Obladaet, Lil Keed, Mayot, Kizaru, Big Baby Ta",hiphop,Music,Base Club,,4 ??????? ? 18:00,,https://www.afisha.ru/concert/2162016,,
24,27,Pussykiller,"Big solo concert PUSSYKILLER. February 18, 2023 - Moscow - 1930",hiphop,Music,1930 Moscow,,18 ??????? ? 19:00,,https://www.afisha.ru/concert/2158633,,
25,28,"????????? ???????. ???? 3: ????? ????, Lida, DK, ??????, ??????? ????, aikko, katanacss x INSPACE, ????????? ??????",Festival 'Future' is a music festival of young and talented artists who are already gathering the largest halls of fans all over Russia or are just starting their creative journey. The main thing that unites the artists of the festival is the emotions tha,hiphop,Music,Adrenaline Stadium,,29 ?????? ? 15:00,,https://www.afisha.ru/concert/2161412,,
26,29,Captown,Club and pub on Presne,hiphop,Music,16 ????,,28 ?????? ? 20:00,,https://www.afisha.ru/concert/2159844,,
27,30,"????????? ???????. ???? 1: CMH, SID, RAM, Velial Squad","Also RAM, SID",hiphop,Music,Adrenaline Stadium,,27 ?????? ? 17:00,,https://www.afisha.ru/concert/2160900,,
28,31,Markscheider Kunst. ???? ???????? ? ??????,"On January 26, Markscheider Kunst will celebrate the birthday of frontman Sergei Efremenko on the stage of the Moscow club Mumiy Troll Music Bar. The band's music can be heard both in foreign cinema and in domestic cinema ('Piter FM', 'Oxygen'), they have",latino,Music,????? ?????? Music Bar,,26 ?????? ? 20:00,,https://www.afisha.ru/concert/2160952,,
29,32,? ????? ??????: Hot Havana ?rchestra,"January 20, at 20:00. In Latin rhythm. Hot Havana Orchestra. Concert in the greenhouse. The famous Cuban orchestra Hot Havana Orchestra with a hot show in the tropics of VDNKh! Sunny Cuban music, Cuban jazz, Latin American hits and English-language covers",latino,Music,???????? ?14 «???????????»,,19 ??????? ? 17 ?????,,https://www.afisha.ru/concert/2159340,,
30,33,?????? ??????,Hot program of Latin music hits,latino,Music,????-???? ????? ??????? ?? ???????,,29 ?????? ? 19:00,,https://www.afisha.ru/concert/2157621,,
31,34,?????????? ?????,"We invite all fans of the passionate and refined genre of tango to the Argentine tango concert.
The program includes the most popular melodies, magnificent tangos of the Golden Age period, tangos by Carlos Gardel, works by the unsurpassed king of Tango A",latino,Music,??????????,,28 ?????? ? 18:00,,https://www.afisha.ru/concert/2160596,,
32,35,Cuba Live,"Highly professional Cuban music, original and traditional, authentic. Sleep, bolero, cha-cha-cha, rumba performed by Cuba Live - a project of brothers Danilo and Yoel Moreira.

The different characters of the brothers laid the foundation for two directi",latino,Music,???? ??????? ???????,,13 ??????? ? 20:00,,https://www.afisha.ru/concert/2157786,,
33,36,Cuba Live,"AddressBryusov per., 8/10, building 2",latino,Music,???? ????????????,,7 ????? ? 20:30,,https://www.afisha.ru/concert/2121434,,
34,37,Markscheider Kunst. ???? ???????? ? ??????,"On January 26, Markscheider Kunst will celebrate the birthday of frontman Sergei Efremenko on the stage of the Moscow club Mumiy Troll Music Bar. The band's music can be heard both in foreign cinema and in domestic cinema ('Piter FM', 'Oxygen'), they have",latino,Music,????? ?????? Music Bar,,26 ?????? ? 20:00,,https://www.afisha.ru/concert/2160952,,
35,38,???. ????? – ??? ?????,"Argentine tango stars
participants of the world's largest tango shows
Facundo GAJO (Argentina)
Luis SCVICCIARINI (Argentina)
Juan ROSALES (Argentina)
Evgenia SAMOILOVA, Yulia OSINA,
Alexander DESYATOV, Artem MAYOROV
Emil SALES and Olga REUTOVA, voc",latino,Music,??? ??????,,3 ??????? ? 19:00,,https://www.afisha.ru/concert/2153491,,
36,39,? ????? ??????: Hot Havana ?rchestra,"January 20, at 20:00. In Latin rhythm. Hot Havana Orchestra. Concert in the greenhouse. The famous Cuban orchestra Hot Havana Orchestra with a hot show in the tropics of VDNKh! Sunny Cuban music, Cuban jazz, Latin American hits and English-language covers",latino,Music,???????? ?14 «???????????»,,19 ??????? ? 17 ?????,,https://www.afisha.ru/concert/2159340,,
37,40,?????? ??????,Hot program of Latin music hits,latino,Music,????-???? ????? ??????? ?? ???????,,29 ?????? ? 19:00,,https://www.afisha.ru/concert/2157621,,
38,41,?????????? ?????,"We invite all fans of the passionate and refined genre of tango to the Argentine tango concert.
The program includes the most popular melodies, magnificent tangos of the Golden Age period, tangos by Carlos Gardel, works by the unsurpassed king of Tango A",latino,Music,??????????,,28 ?????? ? 18:00,,https://www.afisha.ru/concert/2160596,,
39,42,Cuba Live,"Highly professional Cuban music, original and traditional, authentic. Sleep, bolero, cha-cha-cha, rumba performed by Cuba Live - a project of brothers Danilo and Yoel Moreira.

The different characters of the brothers laid the foundation for two directi",latino,Music,???? ??????? ???????,,13 ??????? ? 20:00,,https://www.afisha.ru/concert/2157786,,
40,43,Cuba Live,"AddressBryusov per., 8/10, building 2",latino,Music,???? ????????????,,7 ????? ? 20:30,,https://www.afisha.ru/concert/2121434,,
41,44,Markscheider Kunst. ???? ???????? ? ??????,"On January 26, Markscheider Kunst will celebrate the birthday of frontman Sergei Efremenko on the stage of the Moscow club Mumiy Troll Music Bar. The band's music can be heard both in foreign cinema and in domestic cinema ('Piter FM', 'Oxygen'), they have",latino,Music,????? ?????? Music Bar,,26 ?????? ? 20:00,,https://www.afisha.ru/concert/2160952,,
42,45,???. ????? – ??? ?????,"Argentine tango stars
participants of the world's largest tango shows
Facundo GAJO (Argentina)
Luis SCVICCIARINI (Argentina)
Juan ROSALES (Argentina)
Evgenia SAMOILOVA, Yulia OSINA,
Alexander DESYATOV, Artem MAYOROV
Emil SALES and Olga REUTOVA, voc",latino,Music,??? ??????,,3 ??????? ? 19:00,,https://www.afisha.ru/concert/2153491,,
43,46,? ????? ??????: Hot Havana ?rchestra,"January 20, at 20:00. In Latin rhythm. Hot Havana Orchestra. Concert in the greenhouse. The famous Cuban orchestra Hot Havana Orchestra with a hot show in the tropics of VDNKh! Sunny Cuban music, Cuban jazz, Latin American hits and English-language covers",latino,Music,???????? ?14 «???????????»,,19 ??????? ? 17 ?????,,https://www.afisha.ru/concert/2159340,,
44,47,?????? ??????,Hot program of Latin music hits,latino,Music,????-???? ????? ??????? ?? ???????,,29 ?????? ? 19:00,,https://www.afisha.ru/concert/2157621,,
45,48,?????????? ?????,"We invite all fans of the passionate and refined genre of tango to the Argentine tango concert.
The program includes the most popular melodies, magnificent tangos of the Golden Age period, tangos by Carlos Gardel, works by the unsurpassed king of Tango A",latino,Music,??????????,,28 ?????? ? 18:00,,https://www.afisha.ru/concert/2160596,,
46,49,Cuba Live,"Highly professional Cuban music, original and traditional, authentic. Sleep, bolero, cha-cha-cha, rumba performed by Cuba Live - a project of brothers Danilo and Yoel Moreira.

The different characters of the brothers laid the foundation for two directi",latino,Music,???? ??????? ???????,,13 ??????? ? 20:00,,https://www.afisha.ru/concert/2157786,,
