,Unnamed: 0,id,name,description,genre,category,venue,address,date,time,url,artist,price
0,0,1,1,Event 1,,Music,jazz,some place,an address,a time,http://someurl.com,An artist,A price
1,1,2,2,Event 2,,Music,jazz,some place,an address,a time,http://someurl.com,An artist,A price
2,2,3,3,Event 3,,Music,jazz,some place,an address,a time,http://someurl.com,An artist,A price
3,3,4,4,Event 4,,Music,jazz,some place,an address,a time,http://someurl.com,An artist,A price
4,4,62,Bad Night sponsored by A,Bad Night sponsored by A Acoustic show from House A a collective of local artists and creators who play each other’s songs together and separately Payment for the event in full format As you can with all proceeds being a contribution to the culture of sol,rock,,Teder,,Wed 25 January 2023,8:00 pm - 11:00 pm,https://www.secrettelaviv.com/tickets/bad-night-sponsored-by-a,,
5,5,63,Yaron Yehu,Yaron Yehu is coming to Levontin7 with great show Location 7 Levontin Street Tel Aviv Tickets httpslevontin7comeventsD799D794D795D790D799D7A8D795D79F15sd1674675000ed1674682200mibextidZxz2cZ ???? ??? ??? ??? ??? ???? ???? ???? ????? ?????? ??? ???? ???? ??,folk,,Levontin7,,Wed 25 January 2023,8:00 pm - 11:00 pm,https://www.secrettelaviv.com/tickets/yaron-yehu,,
6,6,64,Footnote,? From Space and Anuya Productions Presents Footnote ? Wednesday 251 2030 Gagarin Club Tel Aviv “Footnote” A new project brings all that is good in the alternative scene in Israel and brings to the stage the rising stars and the freshest artists there is ,Alternative,,Gagarin,,Wed 25 January 2023,8:30 pm - 11:45 pm,https://www.secrettelaviv.com/tickets/footnote,,
7,7,65,BALDA,BALDA LIVE We are launching the new single ‘MAD AT YOU’ in Ozen with new material from the next album the previous album on 251 2200 doors open 40 NIS in the qualifiers 55 NIS instead Tickets – httpsozentlvcomeventbalda2 Address King George 48 JaffaTel Av,,,OZEN,,Wed 25 January 2023,10:00 pm - 11:30 pm,https://www.secrettelaviv.com/tickets/balda,,
8,8,66,Gabriel Palatchi Trio (Argentina) - Latin jazz,Ilana Goor Museum Mazal Dagim 4 Tel Aviv On January 26th the Ilana Goor Museum in Old Jaffa invites you to join Argentinian pianist and composer Gabriel Palatchi and his Trio for an eclectic musical journey with the original blend of genres such as latin ,jazz,,the Ilana Goor Museum,,Thu 26 January 2023,6:00 pm - 8:00 pm,https://www.secrettelaviv.com/tickets/gabriel-palatchi-trio-argentina-latin-jazz-at-the-ilana-goor-museum,,
9,9,67,Festival Maximillian,An exclusive experience from Marina Maximilian returns to us for the third time An original festival from the imagination of the most WOW musician in Israel who composed the content with her own hands especially for you A festival that spans an entire eve,folk,,Hangar 11,,Thu 26 January 2023,7:30 pm - 9:30 pm,https://www.secrettelaviv.com/tickets/festival-maximillian-hangar-11,,
10,10,68,Ishay Berger &amp; The Brothers,After the explosive performance at the Barby “Ishay Berger and the Brothers” are coming back in a big way And this time to the renewed Ozen in Tel Aviv With the old hits some more new ones Links to clips Small boats The children’s music They will be warme,,,Ozen,,Thu 26 January 2023,7:30 pm - 11:30 pm,https://www.secrettelaviv.com/tickets/ishay-berger,,
